ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,SPL_THEMES,RPL_THEMES,CNTY_SoVI,SoVI Percentile,Census_Response_Rate_Social_Capital_Proxy,BRIC,Household_Income_at_Age_35_rP_gP_p25,MDI rate,CRE_PRED3_E,Health Outcomes Rank,CHR_Health Factors Rank,OID_,NRI_RISK_SCORE,RISK_RATNG,RISK_NPCTL,RISK_SPCTL,SDI_score,fpl_100_score
"35",NEW MEXICO,NM,Rio Arriba,"35039","Rio Arriba County, New Mexico",5860.8691945,"39307",-999,-999,"6.650000095","97.9","68.01","2.659268769","28159",X,"13111","31","21","815","15.67054707",Relatively Moderate,"86.53723743","63.63636364","74","94"
"01",ALABAMA,AL,Autauga,"01001","Autauga County, Alabama",594.4434589,"55200",7.0688,0.4354,"-3.170000076","10.6","82.33","2.776490742","26977","0.1407","12365","6","9","1068","5.748777401",Very Low,"16.359007","5.970149254","22","34"
"01",ALABAMA,AL,Blount,"01009","Blount County, Alabama",644.8304602,"57645",7.0137,0.4242,"-2.190000057","19.7","83.1","2.667872563","30153","0.1159","15558","23","25","1072","9.362944866",Relatively Low,"52.54614895","40.29850746","36","57"
"01",ALABAMA,AL,Butler,"01013","Butler County, Alabama",776.8382008,"20025",9.7579,0.8653,"2.940000057","89.3","69.7","2.645133881","26516","0.132","6336","57","55","1074","13.80138833",Relatively Moderate,"80.23551878","85.07462687","81","96"
"01",ALABAMA,AL,Calhoun,"01015","Calhoun County, Alabama",605.8672514,"115098",9.4046,0.8252,"0.01","50.2","80.27","2.746472485","26996","0.3658","32336","36","19","1075","16.60768731",Relatively Moderate,"88.63781031","92.53731343","65","87"
"01",ALABAMA,AL,Chambers,"01017","Chambers County, Alabama",596.560643,"33826",8.7787,0.7382,"1.210000038","70","80.75","2.66860603","24779","0.1542","10862","43","36","1076","8.371430921",Relatively Low,"43.09357097","23.88059701","83","90"
"01",ALABAMA,AL,Coffee,"01031","Coffee County, Alabama",678.9858208,"51288",7.6796,0.5408,"-0.409999996","43.1","77.19","2.743296799","29606","0.132","12994","8","13","1083","12.77001304",Relatively Low,"76.00254615","76.11940299","47","62"
"01",ALABAMA,AL,Colbert,"01033","Colbert County, Alabama",592.7446865,"54495",7.0212,0.4274,"-0.5","41.6","79.9","2.759415698","28190","0.1289","14843","24","16","1084","11.16186703",Relatively Low,"66.74092934","61.19402985","51","64"
"01",ALABAMA,AL,Covington,"01039","Covington County, Alabama",1030.5560529,"37351",8.9948,0.7723,"0.839999974","64.1","77.76","2.600896794","31609","0.132","11723","42","34","1087","13.14229425",Relatively Low,"77.75302355","77.6119403","56","86"
"01",ALABAMA,AL,Cullman,"01043","Cullman County, Alabama",734.7802988,"82313",7.5456,0.5182,"-1.159999967","31.3","81.22","2.727862607","31504","0.1702","20448","14","17","1089","11.11558837",Relatively Low,"66.39083386","59.70149254","38","78"
"01",ALABAMA,AL,Dale,"01045","Dale County, Alabama",561.1006284,"49255",8.9382,0.7599,"-0.670000017","39.1","71.16","2.69521862","28984","0.162","13894","13","18","1090","11.68291462",Relatively Low,"70.68746022","68.65671642","61","80"
"01",ALABAMA,AL,Elmore,"01051","Elmore County, Alabama",618.4462511,"81212",7.6761,0.5401,"-2.75999999","14.3","84.26","2.763546581","28688","0.1407","18028","7","11","1093","6.975600042",Very Low,"28.2940802","10.44776119","26","38"
"01",ALABAMA,AL,Etowah,"01055","Etowah County, Alabama",535.2816213,"102939",8.3295,0.6564,"0.839999974","64.1","80.61","2.793245325","27310","0.3653","27971","32","24","1095","16.79728586",Relatively Moderate,"89.08338638","95.52238806","58","84"
