STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,CHR_Health_Outcomes_Z-Score,CHR_Health_Outcomes_Rank,CHR_Health_Factors_Z-Score,CHR_Health_Factors_Rank,SVI_SPL_THEMES,SVI_RPL_THEMES,SoVI,SoVI_Percentile,SDI_score,SDI_fpl_100_score,NRI_RISK_SCORE,NRI_RISK_RATNG,NRI_RISK_NPCTL,NRI_RISK_SPCTL,MDI_rate,MDI_Standard Error,CRE_PRED0_E,CRE_PRED0_M,CRE_PRED0_PE,CRE_PRED0_PM,CRE_PRED12_E,CRE_PRED12_M,CRE_PRED12_PE,CRE_PRED12_PM,CRE_PRED3_E,CRE_PRED3_M,CRE_PRED3_PE,CRE_PRED3_PM,BRIC_SOCIAL,BRIC_ECONOM,BRIC_HOUSING/INFRA,BRIC_COMM CAPITL,BRIC_INSTITUTIONAL,BRIC_ENVIRONMNT,BRIC
"36","013","00974105",0500000US36013,"36013",Chautauqua,"06","2745967842","1139487496","36013","0.74","53","0.35","49","9.7869","0.9016","1.470000029","74.1","53","80","11.72599387",Relatively Low,"71.10120942","79.03225806","0.1753","0.0217","46277","11920","37.5","9.66","45400","12033","36.79","9.75","31730","10056","25.71","8.15","0.695648646","0.466320957","0.328670091","0.374229666","0.365628024","0.60543506","2.835932443"
"36","029","00974113",0500000US36029,"36029",Erie,"06","2700643194","476896403","36029","0.52","46","-0.08","26","7.0655","0.4426","0.519999981","59.3","43","47","15.96896423",Relatively Moderate,"87.17377467","88.70967742","0.1342","0.0047","357231","94409","39.62","10.47","354739","97187","39.35","10.78","189630","80521","21.03","8.93","0.697294841","0.48665845","0.352881504","0.385739108","0.385667612","0.599911248","2.908152763"
"36","043","00974120",0500000US36043,"36043",Herkimer,"06","3655807440","120420521","36043","-0.04","29","0.31","48","8.3935","0.7705","1.070000052","67.6","38","44","8.187499973",Relatively Low,"40.8975175","38.70967742","0.0842","0.0124","23152","6255","38.16","10.31","24727","6288","40.75","10.36","12797","5318","21.09","8.76","0.69593679","0.470312679","0.300157144","0.394063956","0.431951712","0.611932606","2.904354886"
"36","045","00974121",0500000US36045,"36045",Jefferson,"06","3285906470","1524628784","36045","-0.01","30","0.39","51","8.6394","0.8033","-1.49000001","26.6","58","47","6.513426486",Very Low,"23.52005092","17.74193548","0.1338","0.0192","40255","9965","37.18","9.2","45853","10086","42.35","9.32","22164","8073","20.47","7.46","0.719437648","0.441938537","0.278436319","0.344049025","0.368517077","0.622770234","2.77514884"
"36","047","00974122",0500000US36047,"36047",Kings,"06","179671325","71098973","36047","-0.52","13","0.3","47","9.9672","0.918","7.739999771","98.5","99","92","50.4837423",Very High,"99.74538511","98.38709677","0.2311","0.0043","498575","266199","19.53","10.43","1221172","302805","47.84","11.86","833000","270368","32.63","10.59","0.610705394","0.42938793","0.364272884","0.244173816","0.395796835","0.48058931","2.524926169"
"36","053","00974125",0500000US36053,"36053",Madison,"06","1696091557","16670528","36053","-0.79","9","-0.19","19","4.2786","0.0328","-2.450000048","16.8","14","28","6.818793577",Very Low,"26.63908339","24.19354839","0.102","0.0152","25347","6398","37.98","9.59","28648","6423","42.92","9.62","12745","5349","19.1","8.02","0.730401776","0.472485014","0.295618658","0.390105596","0.396242402","0.6226738","2.907527245"
"36","065","00974131",0500000US36065,"36065",Oneida,"06","3139921993","117340435","36065","0.76","54","0.1","35","9.3444","0.8689","1.25999999","70.9","56","60","14.6845786",Relatively Moderate,"83.32272438","85.48387097","0.1611","0.0181","83160","23927","37.84","10.89","88070","24157","40.08","10.99","48514","20104","22.08","9.15","0.69824146","0.481034655","0.322014301","0.385114939","0.395409432","0.604090812","2.885905599"
"36","077","00974137",0500000US36077,"36077",Otsego,"06","2594462122","36339120","36077","-0.19","25","-0.23","17","6.9508","0.3934","0.430000007","57.4","36","56","10.85655285",Relatively Low,"64.76766391","69.35483871","0.0947","0.0131","18774","5423","34.03","9.83","21961","5459","39.81","9.9","14427","4572","26.15","8.29","0.717500298","0.466845704","0.289378145","0.373474672","0.39030185","0.622015462","2.859516131"
"36","081","00974139",0500000US36081,"36081",Queens,"06","281734474","179364919","36081","-1","8","-0.09","24","8.1966","0.7377","5.570000172","96.7","83","47","34.61005239",Relatively High,"98.63144494","96.77419355","0.1689","0.0044","471600","235376","20.96","10.46","1110870","277038","49.38","12.31","667189","254347","29.66","11.31","0.630143047","0.471694877","0.372557748","0.213576223","0.391193168","0.487961785","2.567126849"
"36","091","00974143",0500000US36091,"36091",Saratoga,"06","2097879149","87573063","36091","-1.36","5","-0.86","4","3.4426","0","-4.309999943","5.6","4","5","6.14493725",Very Low,"20.24188415","14.51612903","0.0558","0.0107","106864","23323","46.93","10.24","88243","22832","38.75","10.03","32624","17364","14.33","7.62","0.717699346","0.482023916","0.280194179","0.388281654","0.404408882","0.621105384","2.893713361"
